t_1,t_2
88.2690191219,97.4562198974
12.176744896,33.1483998318
11.351851214,47.2985702179
1.03702344791,11.0389475265
0.738918660339,47.8376220972
16.4060809848,39.4239006596
52.6852054131,81.1229081845
36.5058807324,70.8311284903
11.394604246,100.734533581
16.4623872544,16.4918826544
34.8514951022,122.782991252
6.34550413003,62.3778291222
29.3218313431,45.5819868748
18.3964292403,23.2818802078
21.4949809762,72.1835492806
3.75015194133,32.3201066146
2.69365863337,39.66719194
17.0288497125,170.950379985
20.861643267,22.5348447886
23.4742114517,NA
200.14774778,NA
24.5656750147,170.468462845
75.7505463615,80.2403366206
6.1397305395,55.7757107756
8.00845780623,24.0352435815
8.30390042418,56.3369072531
58.5162218293,NA
31.4764920568,241.690851475
9.08577633684,76.5305842631
4.81210577781,43.6506510884
19.1681079789,93.7598155307
120.406531271,154.814388507
219.709365837,NA
38.1804876006,77.5833593629
111.139663623,NA
36.4768546618,56.1392844237
27.2542016999,34.9746556287
14.7025958251,51.6846854945
73.1418015942,82.1895462616
24.7330923746,50.2802766968
32.3044189596,45.0479744063
193.16919731,194.130436906
78.173242992,83.7725761866
9.90841802566,305.2563636
488.66970633,NA
3.73041304139,23.8835184958
35.6473867308,NA
6.8587587671,35.4046997363
4.18306662969,56.7602280519
31.0165493114,59.3117246382
31.1257615378,NA
54.1503696919,65.1431254278
86.9274302096,103.174679651
36.6434132455,177.54385046
39.8986593817,69.8990752694
0.852302240441,91.6593478139
19.9452482171,27.3373318449
59.4243050156,NA
13.1463755601,17.595360363
9.81894664997,52.9617136852
44.3920662087,60.3192632169
47.5314217126,59.6882939771
66.6626968248,129.797849264
48.2763660731,65.2813506595
63.8751338728,85.7161015057
55.6443853911,93.704884136
19.1903466247,36.5462160479
15.3276885264,28.1143468261
52.3462473097,54.6705850739
76.3895732933,82.6164697232
26.5248813814,26.9639817513
57.7005104066,73.4747584815
12.4041687755,14.1616122349
40.4636716471,272.25318549
12.9733029567,77.1416506746
3.86393691746,79.0159157012
0.470574801731,2.29392146156
80.136518001,NA
29.4452767529,NA
33.6740873651,NA
11.4928936082,47.4261331435
29.1040199284,357.395031975
20.3312481244,64.3470088041
32.8010674206,154.967838057
90.7883693016,171.270878733
43.8840627962,NA
11.6926638712,68.7993035097
18.1772902164,74.7419555577
49.1075805406,68.1180022175
108.239933642,165.604252475
5.73886185546,14.9347198633
25.2562019176,51.6035304434
30.1122863763,52.5486536651
1.24314701641,31.0147414877
37.7928299868,45.9983856555
1.95491601442,21.2600788866
33.9076879605,55.3200699851
108.670198306,NA
190.376924483,NA
2.43256308481,24.145963718
29.6854119342,NA
20.5876484965,34.5048958817
87.7611673473,98.6841668551
8.06910504732,NA
193.183074582,196.612844318
16.7062214015,21.7648640266
31.2152165097,61.7343213277
43.7015127964,102.094841855
30.3257205254,88.2002034627
5.72744613133,22.2797789687
45.9919475854,254.833004888
1.94270554699,136.064291101
47.147292161,69.4245231704
58.8254922333,140.454353676
26.0647255107,33.3817015896
8.95280036134,141.098842904
24.7455273028,27.1359755884
43.7632778499,NA
26.1697147913,56.0352264594
331.885642915,NA
24.1715318243,65.9284570563
9.56395860366,39.5500209511
11.3063848535,NA
2.553889925,77.4197225045
12.003043063,35.5864743828
41.2884407912,53.7071428504
25.535274551,33.5596138108
62.8886674539,73.8454069646
24.7031802441,27.9108620832
8.32795728376,50.096471448
39.3263175688,52.641333689
71.8094571819,NA
35.1924948332,NA
27.8589405737,80.1234462393
16.9260853364,134.807259561
25.9485826346,53.846580234
10.0192006116,21.8477287305
98.0268609226,137.087337148
6.97546626604,48.4353037024
113.154038026,NA
11.9321145675,36.8738144209
57.5517213095,127.059587524
88.1461409869,NA
19.3157510491,34.7992143289
283.133793046,NA
10.7939642977,13.4953462612
28.6978390235,132.53854007
25.822888499,62.1028218753
11.8476881005,13.8361718935
40.5203261663,42.608883372
20.5027405205,NA
26.1477341493,48.0595629008
18.2220681626,73.568518771
43.1537664297,142.611306006
94.4045539795,119.714514332
30.8061127161,86.6003587422
8.04133232068,288.129365181
29.6615766242,43.531177534
24.4716960067,66.6737533231
30.4393309174,75.2736863898
2.02000162616,48.019598826
3.09632163909,70.0185348659
37.1760211938,79.0961809619
74.5649918153,108.620639453
19.618029527,50.7907865913
84.3146677743,125.764911323
7.34802852136,43.9024152542
43.9771168879,68.686785104
162.043763683,194.577023739
10.8234387935,67.0707939652
36.2040989416,43.2541016564
47.7769368705,90.3067567241
66.9700366903,98.2919088229
8.24514104069,16.6855288398
6.43942722149,107.423222474
73.0453019302,116.137707774
81.0179778406,NA
8.33746975784,15.2204579378
14.730544284,29.6654256374
77.0759888492,NA
89.5522325698,102.796963708
84.7846414696,110.319085225
32.1065402626,155.980130397
56.8040657327,263.791815742
13.9374675533,NA
11.2531211023,34.2526044777
5.09368074721,6.62849893068
3.14570292931,61.0039015539
4.12585945139,24.0987821143
5.03131785169,47.8876989155
47.3393102467,69.2122249022
22.280545498,23.9573266426
12.5301909696,25.2215173338
69.8868391013,71.0593026773
0.837037433254,36.151929488
81.4358904152,195.524628383
15.0286730483,NA
10.2749887797,75.8396270136
28.5852270223,NA
7.73949497961,78.5881164901
12.3119861883,29.9540880232
80.1423107237,119.550785992
39.5169228715,69.7177959371
1.90377954961,13.5334078594
74.4920903487,91.0083257763
31.9439343125,70.9700097554
NA,NA
9.82739330851,28.9423323464
81.4872362214,81.6248656117
10.6883474083,49.8924733229
19.7832314368,32.5900469463
47.2743887561,92.47354183
41.5627219541,76.004892341
72.8487657418,72.9805163155
12.8049046727,30.3642375957
